expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
SAIP13302,SAIP,2013,3,Switzerland,Ernst Marti,Marti Saipal Expedition,FALSE,2,0,0,FALSE
SAIP13301,SAIP,2013,3,France,Emmanuel Abele,Saipal Expedition 2013,FALSE,6,0,0,FALSE
TAWO13301,TAWO,2013,3,Switzerland,Felix Berg,SummitClimb Tawoche Expedition 2013,FALSE,2,0,0,FALSE
TUKU12401,TUKU,2012,4,Japan,Ryuta Takayanagi,Hokkaido University Wondervogel Tukuche Expedition 2013,FALSE,5,0,0,FALSE
TUKU13301,TUKU,2013,3,Germany,Wolfgang Uttendorfer,Germans on Tukuche,FALSE,4,0,0,FALSE
TASH13301,TASH,2013,3,Japan,Hiroshi Tsuruki,Japanese Tashi Kang Expedition,TRUE,1,1,0,FALSE
JAGD13101,JAGD,2013,1,France,Paulo Grobel,Jagdula French Peak Expedition,TRUE,2,1,0,FALSE
AMAD13113,AMAD,2013,1,Australia,Richard Agnew,Agnew Ama Dablam 2013,FALSE,1,0,0,FALSE
KNAG13301,KNAG,2013,3,Slovenia,"Domen Kastelic, Santiago Padros",,FALSE,2,0,0,FALSE
DOMO12301,DOMO,2012,3,India,Pradeep Chandra Sahoo,Kolkata Section of the Himalayan Club,TRUE,2,1,0,FALSE
DOMK12301,DOMK,2012,3,India,Pradeep Chandra Sahoo,Kolkata Section of the Himalayan Club,TRUE,2,1,0,FALSE
LUN210301,LUN2,2010,3,France,Mathieu Detrie,,TRUE,4,4,0,FALSE
AMAD13336,AMAD,2013,3,UK,Tim Mosedale,Tim Mosedale's Ama Dablam Autumn 2013,TRUE,15,10,0,FALSE
AMAD13402,AMAD,2013,4,Malaysia,Doris Sitaun,Malaysian Sabah Ama Dablam Expedition,FALSE,1,0,0,FALSE
BAMO13301,BAMO,2013,3,Austria,Mingma Gyalje Sherpa,Mt. Bamongo First Ascent Expedition,TRUE,4,2,0,FALSE
HIML13308,HIML,2013,3,Switzerland,Urs Hefti,Himlung Himal Research Expedition 2013,TRUE,72,30,0,TRUE
LIK113301,LIK1,2013,3,Germany,Ines Papert,German Tengkangpoche & Linku Chuli I Expedition,TRUE,2,1,0,FALSE
TKPO13301,TKPO,2013,3,Germany,Ines Papert,German Tengkangpoche & Linku Chuli I Expedition,FALSE,2,0,0,FALSE
TKPO13302,TKPO,2013,3,Ukraine,Marina Kopteva,Russia-Ukraine Tengkangpoche Expedition,TRUE,3,3,0,FALSE
URMA13401,URMA,2013,4,Japan,Dawa Tashi Sherpa,Mt. Baden Powell Japanese 2013,TRUE,9,9,0,FALSE
AMAD13337,AMAD,2013,3,UK,Ted Atkins,,FALSE,3,0,0,FALSE
TRIA13301,TRIA,2013,3,France,Lionel Albrieux,GMHM Shishapangma Expedition,TRUE,8,2,0,FALSE
