expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
TILI85301,TILI,1985,3,Spain,Jose Luis Garcia Sanchez,Val d'Aran to Himalaya - Tilicho,FALSE,8,0,0,FALSE
NILN85301,NILN,1985,3,Poland,Danuta Wach,Women's Himalayan Expedition Nilgiri N 1985,FALSE,7,0,0,FALSE
HIME85301,HIME,1985,3,Japan,Nobuyuki Takeda,Yamagata Climbing Club Himalchuli Expedition 1985,TRUE,6,2,0,TRUE
GAUR85401,GAUR,1985,4,S Korea,Seo Jeong-Bae,1985-86 Korean Gaurishankar Winter Expedition,TRUE,4,1,0,FALSE
AMAD85401,AMAD,1985,4,USA,Carlos Paltenghe Buhler,American-Canadian Winter Ama Dablam Expedition,TRUE,2,2,0,FALSE
ANN185401,ANN1,1985,4,Bulgaria,Boyan Atanassov,Bulgarian Winter Expedition Annapurna I,FALSE,16,0,0,FALSE
CHOY85401,CHOY,1985,4,Canada,Roger Marshall,International Cho Oyu Expedition,TRUE,6,2,0,FALSE
MAKA85401,MAKA,1985,4,Japan,Hiroyuki Baba,Japan Winter Mt. Makalu Expedition,FALSE,7,0,0,FALSE
KTEG85401,KTEG,1985,4,S Korea,Lee Dae-Seok,Korean Winter Himalaya Kangtega Expedition,TRUE,10,1,0,FALSE
KARY85401,KARY,1985,4,S Korea,Kim Young-Ho,Korean-Nepalese Joint Karyolung Winter Expedition,FALSE,4,0,0,FALSE
MANA85401,MANA,1985,4,Japan,Noboru Yamada,Manaslu Japanese Winter Expedition,TRUE,2,2,0,FALSE
MAKA85402,MAKA,1985,4,Italy,Reinhold Messner,Messner Makalu Expedition,FALSE,6,0,0,FALSE
AMAD85402,AMAD,1985,4,New Zealand,Geoffrey Gabites,New Zealand Ama Dablam Expedition,FALSE,5,0,0,FALSE
KANG85401,KANG,1985,4,Poland,Andrzej Machnik,Polish-American Winter Kangchenjunga Expedition,TRUE,19,2,1,FALSE
DHA185401,DHA1,1985,4,Switzerland,Jean Troillet,Swiss Dhaulagiri Winter Expedition,TRUE,4,3,0,FALSE
PUMO86402,PUMO,1986,4,USA,Todd Bibler,American Pumori Expedition Winter 1986,TRUE,2,1,0,FALSE
NUPT86401,NUPT,1986,4,USA,"Jeff Lowe, Marc Twight",American Winter Nuptse Expedition,FALSE,2,0,0,FALSE
MAKA86401,MAKA,1986,4,Japan,Noboru Yamada,Japan Winter Makalu Expedition,FALSE,2,0,0,FALSE
PUMO86401,PUMO,1986,4,Japan,Kazuyuki Takahashi,Kamoshika Dojin Winter Pumori,TRUE,3,2,0,FALSE
LOBW86401,LOBW,1986,4,S Korea,Lee Hee-Bong,Korean Lobuche (West) Winter Expedition,TRUE,5,3,0,FALSE
AMAD86401,AMAD,1986,4,France,Roger Massardier,Lyon and Avignon Winter Expedition Nepal 1986-87 to Ama Dablam,FALSE,4,0,0,FALSE
NEMJ87101,NEMJ,1987,1,USA,Kevin Swigert,1987 American Himlung Expedition,FALSE,4,0,0,FALSE
MAKA87102,MAKA,1987,1,USA,Glenn Porzak,1987 American Makalu Expedition,TRUE,9,3,0,TRUE
CHOY87103,CHOY,1987,1,USA,Robert Watters,1987 Nevada Cho Oyu Expedition,FALSE,6,0,0,FALSE
CHAM87101,CHAM,1987,1,USA,Richard Hartshorne,American Chamlang Expedition of the Juilliard Mountain Club,FALSE,2,0,0,FALSE
JANU87101,JANU,1987,1,USA,Hooman Aprin,American-British 1987 Expedition to Jannu,FALSE,7,0,0,FALSE
CHOY87101,CHOY,1987,1,Chile,Mauricio Purto,Chilean CAI Cho Oyu 1987,TRUE,4,2,0,FALSE
ANN187102,ANN1,1987,1,Spain,Juan Maldonado,Comval Expedition to Annapurna I 1987,FALSE,10,0,1,FALSE
PUMO87101,PUMO,1987,1,Netherlands,Joost Pielage,Dutch Pumori Expedition Nepal 1987,FALSE,4,0,0,FALSE
LSHR87102,LSHR,1987,1,France,Alain Esteve,Groupe Militaire de Haute Montagne (GMHM),TRUE,13,1,0,FALSE
GANG87101,GANG,1987,1,Iceland,Gudmundur Petursson,Gangapurna Icelandic Expedition 1987,FALSE,5,0,0,FALSE
AMAD87102,AMAD,1987,1,Greece,Mike Tsoukias,Greek Ama Dablam Expedition,TRUE,5,3,0,FALSE
DHA187101,DHA1,1987,1,Japan,Masakatsu Nakamura,Groupe des Moraines Dhaulagiri I Expedition 1987,FALSE,9,0,0,TRUE
CHOY87102,CHOY,1987,1,Austria,Marcus Schmuck,International Tibet Expedition Cho Oyu 1987,TRUE,27,11,0,FALSE
KANG87101,KANG,1987,1,France,Eric Monier,Kangchenjunga 1987,FALSE,2,0,0,FALSE
MAK287101,MAK2,1987,1,Switzerland,Wilma Simonetta,Kangchungtse Expedition,FALSE,4,0,0,FALSE
CHRE87101,CHRE,1987,1,S Korea,Do Chang-Ho,Korean Alpine Club Chung Dong Churen Himal Expedition,FALSE,8,0,0,FALSE
TILI87101,TILI,1987,1,Spain,Jordi Colomer,La Seda de Barcelona Tilicho Peak,FALSE,5,0,0,FALSE
ANN187101,ANN1,1987,1,New Zealand,Rob Hall,New Zealand Annapurna I Expedition 1987,FALSE,5,0,0,FALSE
MAKA87101,MAKA,1987,1,Netherlands,Edwin van Nieuwkerk,Nomad Makalu Expedition 1987,FALSE,5,0,0,FALSE
AMAD87101,AMAD,1987,1,USA,John Iacovino,Pittsburg Ama Dablam Expedition,TRUE,6,3,0,FALSE
MANA87102,MANA,1987,1,Poland,Wojciech Szymanski,Polish-Czechoslovak Punggen Face Manaslu Expedition,FALSE,6,0,0,FALSE
MANA87101,MANA,1987,1,Spain,Enric Bassas Serra,Rubi Manaslu 1987,FALSE,2,0,0,FALSE
LSHR87101,LSHR,1987,1,Yugoslavia,Vincenc Griljc,Slovene Lhotse Shar Expedition,FALSE,13,0,0,FALSE
LANR87101,LANR,1987,1,Japan,Katsuyuki Fukuzawa,Nepalese-Japanese Joint Langtang Ri Expedition 1987,TRUE,6,5,0,FALSE
CHOY87303,CHOY,1987,3,France,Tierry Renard,,TRUE,2,1,0,FALSE
TILI87301,TILI,1987,3,Switzerland,Bruno Roth Zaugg,Swiss Tilicho Expedition,FALSE,4,0,0,FALSE
LEON87301,LEON,1987,3,S Korea,Yoon Jae-Ryong,1987 Jugal Himal Expedition of Chounam Univ Medical School Alpine Club,TRUE,6,2,0,FALSE
AMAD87302,AMAD,1987,3,USA,Frederick Ziel,1987 American Ama Dablam N Ridge Expedition,FALSE,4,0,0,FALSE
CHOY87304,CHOY,1987,3,USA,Mark Udall,1987 American Cho Oyo Expedition,TRUE,10,1,0,FALSE
NUPT87302,NUPT,1987,3,USA,Rob Newsom,1987 American Nuptse Expedition,FALSE,2,0,0,FALSE
KANG87301,KANG,1987,3,Australia,Michael Groom,Australian Kangchenjunga Expedition,TRUE,2,2,0,FALSE
AMAD87301,AMAD,1987,3,UK,Martin Mandel,Ama Dablam S Ridge 1987,FALSE,10,0,0,FALSE
DHA187302,DHA1,1987,3,USA,Catherine (Kitty) Calhoun,American Dhaulagiri E Face Expedition,TRUE,4,3,0,FALSE
AMAD87303,AMAD,1987,3,UK,William (Bill) O`Connor,Anglo-American Ama Dablam Expedition,FALSE,5,0,0,FALSE
ANNS87301,ANNS,1987,3,France,Philippe Berger,Annapurna Dakshin Expedition Credit Mutuel,FALSE,10,0,0,FALSE
MANA87302,MANA,1987,3,Japan,Seigo Matsushima,Aomari Manaslu Expedition 1987,FALSE,15,0,1,TRUE
TAWO87301,TAWO,1987,3,UK,Malcolm Duff,British Tawoche Expedition,FALSE,10,0,0,FALSE
AMAD87304,AMAD,1987,3,Bulgaria,Venelin Hristoforov Petrov,Bulgarian Students Expedition Ama Dablam 1987,FALSE,17,0,0,FALSE
DHA587301,DHA5,1987,3,Spain,Angel Serra Jubany,Catalonian Expedition Dhaulagiri V,FALSE,4,0,0,FALSE
JANU87303,JANU,1987,3,France,Henri Sigayret,France Jannu Autumn Expedition,TRUE,8,2,0,FALSE
DHA187301,DHA1,1987,3,Japan,Tatsuhisa Mitoma,Fukuoka Tozan Kemkyu Kai Dhaulagiri Expedition,FALSE,5,0,0,FALSE
CHOY87306,CHOY,1987,3,W Germany,Hans Eitel,German Cho Oyu Expedition,FALSE,2,0,0,FALSE
PUMO87303,PUMO,1987,3,W Germany,Juergen Knappe,German Pumori Expedition 1987,TRUE,4,4,0,FALSE
PUMO87301,PUMO,1987,3,Japan,Yoshio Ohashi,Gunma Sakaimachi Yamanakai Pumori Expedition 1987,TRUE,11,8,0,FALSE
DHA187304,DHA1,1987,3,Japan,Hiroshi Aota,Hiroshi Aota Dhaulagiri S Face Solo Expedition,FALSE,3,0,0,FALSE
GAN587301,GAN5,1987,3,Japan,Haruo Makino,Fukui Alpine Club Nepal Himalaya Expedition 1987 to Ganesh V,TRUE,5,2,0,FALSE
CHOY87301,CHOY,1987,3,Japan,Michiko Takahashi,Kamoshika Dojin Team,TRUE,8,8,0,TRUE
KJRS87301,KJRS,1987,3,USA,Robert Craig Calonica,Kanjiroba S American Expedition 1987,FALSE,6,0,0,FALSE
KHAT87301,KHAT,1987,3,Switzerland,Karl Kobler,Khatang Expedition of the University of Bern,TRUE,15,14,0,TRUE
LSIS87301,LSIS,1987,3,Poland,Miroslaw Gardzielewski,Langshisa Ri Polish Himalaya Expedition,FALSE,7,0,0,FALSE
LSHR87302,LSHR,1987,3,UK,Adrian Burgess,Lhotse Shar Expedition 1987,FALSE,4,0,0,FALSE
LSHR87301,LSHR,1987,3,Spain,Antoni Sors Ferrer,Massana Expedition to the Himalaya - to Lhotse Shar,FALSE,8,0,4,FALSE
JANU87301,JANU,1987,3,Netherlands,Gerard van Sprang,Netherlands Jannu Autumn Expedition,TRUE,6,3,2,FALSE
NUPT87301,NUPT,1987,3,Italy,Enrico Rosso,Nuptse 1987,FALSE,2,0,0,FALSE
CHOY87305,CHOY,1987,3,Poland,"Tadeusz Karolczak, Aleksander Lwow",Poles on Cho Oyu,TRUE,2,2,0,FALSE
PUMO87302,PUMO,1987,3,France,Marc Batard,Pumori 1987,TRUE,8,1,0,FALSE
MAK287301,MAK2,1987,3,France,Louis Dollo,Pyrenees Expedition to Nepal,FALSE,10,0,1,TRUE
SAIP87301,SAIP,1987,3,Austria,Franz Kroell,Saipal Expedition,FALSE,3,0,0,FALSE
SITA87301,SITA,1987,3,France,Eric Delcasso,Sita Chuchura Expedition,FALSE,8,0,0,FALSE
TUKU87301,TUKU,1987,3,Spain,Lluis Gomez Mestre,Ski Tukuche 1987,TRUE,11,3,0,FALSE
DHA187303,DHA1,1987,3,Spain,Miguel Diez Rodriguez,Spanish Expedition to Dhaulagiri,FALSE,4,0,0,FALSE
CHOY87302,CHOY,1987,3,Switzerland,Norbert Joos,Swiss Cho Oyu Expedition,FALSE,3,0,0,FALSE
ANN187301,ANN1,1987,3,Spain,Josep Maria Maixe,"Tarragona to 8,000 Metres Annapurna I",TRUE,7,2,0,FALSE
MANA87301,MANA,1987,3,Austria,Arthur Haid,Tirolean Himalayan Expedition 1987 to Manaslu,TRUE,10,2,0,FALSE
ANN187302,ANN1,1987,3,Spain,Juan Carlos Gomez Ramos,Valencia Expedition to Himalaya,TRUE,3,3,0,FALSE
NGO287301,NGO2,1987,3,Yugoslavia,"Darko Berljak, Branko Separovic",Zagreb Mountaineering Expedition Ngojumba Kang,TRUE,13,4,0,FALSE
KANG87401,KANG,1987,4,S Korea,Jung Sang-Moo,1987-88 Korean Winter Kangchenjunga Expedition,TRUE,9,1,1,TRUE
NGOJ87401,NGOJ,1987,4,S Korea,Chung Jin-Yang,1987-88 Korean Winter Cho Oyu-Ngojumba Kang Expedition,TRUE,10,2,0,FALSE
ANN187401,ANN1,1987,4,Canada,Stephen Adamson,1987 Annapurna I Winter Expedition,FALSE,9,0,0,FALSE
AMAD87401,AMAD,1987,4,USA,Annie Whitehouse,American Ama Dablam Tawoche Expedition,TRUE,6,5,0,FALSE
DHA187401,DHA1,1987,4,France,Marc Batard,Dhaulagiri 1987 - First Winter French Expedition,TRUE,9,1,0,TRUE
CHOY87401,CHOY,1987,4,Spain,Fernando Garrido,Fernando Garrido Winter Expedition Cho Oyo,TRUE,1,1,0,FALSE
ANNS87401,ANNS,1987,4,Japan,Masami Yamagata,Hakuhoukai Annapurna Dakshin Expedition 1987-88,FALSE,8,0,0,FALSE
ANN187403,ANN1,1987,4,Japan,Kuniaki Yagihara,Gunma Mtng Federation Annapurna I S Face Expedition,TRUE,14,4,2,FALSE
LANG87401,LANG,1987,4,Poland,Wojciech Maslowski,Polish Langtang Lirung Winter Expedition,TRUE,10,3,0,FALSE
MAKA87401,MAKA,1987,4,Poland,Andrzej Machnik,Polish Winter Makalu Expedition 1987-88,FALSE,9,0,0,FALSE
DHA187402,DHA1,1987,4,Yugoslavia,Stane Belak,Slovene Dhaulagiri Winter Expedition,TRUE,4,2,0,TRUE
ANN187402,ANN1,1987,4,Japan,Yoshitomi Okura,Tokyo Annapurna I Winter Expedition 1987,FALSE,4,0,0,FALSE
DHA189304,DHA1,1989,3,Spain,Jordi Magrina Guell,Kellogg's Dhaulagiri Expedition,FALSE,2,0,0,FALSE
DHA189301,DHA1,1989,3,Spain,Francesc Dalmeses Cunill,Dhaulagiri 1989 - to Dhaulagiri I,FALSE,3,0,1,FALSE
DHA189302,DHA1,1989,3,Spain,Ignacio Olaizola,Gipuzkopako Expedition Himalaya - to Dhaulagiri I,FALSE,6,0,0,FALSE
DHA189303,DHA1,1989,3,France,Alain Esteve,Groupe Militaire de Haute Montagne (GMHM),FALSE,10,0,0,TRUE
DHA189305,DHA1,1989,3,France,Alain Bigey,Gahm Dhaulagiri 1989 Expedition,FALSE,4,0,0,FALSE
DHA189306,DHA1,1989,3,France,Christophe Profit,Lhotse S Face en Duo - to Dhaulagiri I,FALSE,5,0,0,FALSE
CHUR89301,CHUR,1989,3,UK,Chuck Evans,British 1989 Churen Himal Expedition,TRUE,4,4,0,FALSE
DHAM89301,DHAM,1989,3,Japan,Shigeyuki Baba,Okinawa Pref. Ryukyu University Alpine Club Dhampus Expedition,TRUE,6,2,0,FALSE
GURJ89301,GURJ,1989,3,France,Patrick Gendey,Objective 7000: French Expedition to Gurja Himal,FALSE,6,0,0,FALSE
KAND89301,KAND,1989,3,UK,Garry Kennard,British Kande Hiunchuli Expedition,FALSE,8,0,0,FALSE
KJER89301,KJER,1989,3,France,Michel Thodoroff,Namaste Kanjeralwa 1989,FALSE,9,0,0,FALSE
GANG89301,GANG,1989,3,Yugoslavia,Franc Pusnik,Slovenian Gangapurna N Face Expedition,TRUE,5,2,0,FALSE
GLAC89302,GLAC,1989,3,Poland,Piotr Henschke,Polish Team to Glacier Dome,TRUE,4,4,0,FALSE
GLAC89301,GLAC,1989,3,W Germany,Adi Welsch,Alpine Group Peissenberg to Glacier Dome,FALSE,4,0,0,FALSE
ANN289301,ANN2,1989,3,S Korea,Lee Dong-Myung,1989 Yeungnam University Alpine Club Annapurna II & IV Exp,TRUE,9,2,2,FALSE
ANN189301,ANN1,1989,3,Bulgaria,Toder Grigorov,Bulgarian Annapurna Expedition,TRUE,20,3,2,FALSE
HIME89301,HIME,1989,3,S Korea,Chung Chai-Hong,Keimyung University Alpine Club Himalchuli Expedition 1989,FALSE,9,0,1,TRUE
MANA89301,MANA,1989,3,Spain,Carles Gel Rodriguez,Catalan Manaslu Expedition,FALSE,3,0,0,FALSE
MANA89302,MANA,1989,3,UK,Mark Dixon,British Manaslu 1989 Expedition,FALSE,3,0,0,FALSE
MANA89303,MANA,1989,3,Japan,Masaaki Fukushima,Himalayan Dojin Manaslu Expedition,FALSE,4,0,0,FALSE
MANA89304,MANA,1989,3,Austria,Maximilian-Horst Fankhauser,Tirolean Manaslu Expedition,FALSE,5,0,0,FALSE
MANA89305,MANA,1989,3,USA,Adrian Burgess,Colorado Manaslu Expedition,FALSE,13,0,0,FALSE
LHOT89302,LHOT,1989,3,S Korea,Heo Young-Ho,Heo Young-Ho Family Expedition to Lhotse,TRUE,2,1,0,TRUE
LHOT89301,LHOT,1989,3,Poland,Jerzy Kukuczka,Lhotse S Face Expedition,FALSE,14,0,1,FALSE
LSHR89301,LSHR,1989,3,S Korea,Han Gwang-Geol,1989 Korean Lhotse Shar Expedition,TRUE,11,1,0,FALSE
PUMO89303,PUMO,1989,3,W Germany,Sigi Hupfauer,Hupfauer Pumori Expedition,TRUE,2,2,0,FALSE
PUMO89307,PUMO,1989,3,Canada,Jan Neuspiel,Canadian Pumori Expedition,TRUE,4,1,0,FALSE
PUMO89306,PUMO,1989,3,USA,Randal Harrington,American Pumori Expedition,TRUE,4,3,0,FALSE
PUMO89305,PUMO,1989,3,France,Francois Duthil,French Expedition to Pumori,TRUE,4,3,0,FALSE
PUMO89308,PUMO,1989,3,France,Michel Richard,,FALSE,7,0,0,FALSE
PUMO89302,PUMO,1989,3,Spain,Francisco (Paco) Salgado Rivera,Spanish Pumori Expedition,FALSE,7,0,4,FALSE
PUMO89301,PUMO,1989,3,Italy,Marino Giacometti,Everest-K2-C.N.R. 1989 to Pumori,TRUE,9,3,0,FALSE
PUMO89304,PUMO,1989,3,W Germany,Josef Holzer,DAV Summit Club Pumori 1989,TRUE,20,12,0,TRUE
AMAD89301,AMAD,1989,3,Yugoslavia,Bojan Pockar,Ama Dablam NW Face Expedition,FALSE,3,0,0,FALSE
AMAD89303,AMAD,1989,3,USA,Gary Ruggera,American Ama Dablam 1989,TRUE,5,4,0,FALSE
AMAD89304,AMAD,1989,3,France,Jean-Pierre Frachon,Atalante Expedition to Ama Dablam,TRUE,8,5,0,FALSE
AMAD89302,AMAD,1989,3,W Germany,Guenther Haerter,DAV Summit Club Ama Dablam Expedition,TRUE,11,8,0,FALSE
CHOY89303,CHOY,1989,3,Spain,Magda King Nos Loppe,First Spanish Women's Expedition to 8000m - to Cho Oyu,TRUE,2,2,0,FALSE
CHOY89304,CHOY,1989,3,Italy,Enrico Rosso,Italians to Cho Oyu and Everest,TRUE,3,1,0,FALSE
CHOY89302,CHOY,1989,3,Italy,Alberto Bianchi,Italian Expedition to Cho Oyu from Tibet,TRUE,5,2,0,FALSE
CHOY89305,CHOY,1989,3,Switzerland,Mario Casella,Swiss Expedition to Cho Oyu,TRUE,5,4,0,FALSE
CHOY89301,CHOY,1989,3,S Korea,Park Sang-Yul,1989 Korean Cho Oyu Expedition,TRUE,11,2,0,FALSE
DORJ89301,DORJ,1989,3,Italy,Ezio Goggi,ADC 1989 Dorje Lhakpa,FALSE,7,0,0,FALSE
GAN489301,GAN4,1989,3,Spain,Faustino Garcia Fraile,Avila to Summit Himalaya 1989 to Ganesh IV,FALSE,7,0,0,FALSE
LANG89301,LANG,1989,3,UK,Andrew Creigh,1989 British Langtang Expedition to Langtang Lirung,TRUE,8,1,0,FALSE
LANG89302,LANG,1989,3,Switzerland,Hans Berger,First Swiss Langtang Expedition,TRUE,9,7,0,FALSE
NUPT89301,NUPT,1989,3,W Germany,Ralf Dujmovits,Baden-Badener Nuptse Expedition 1989,FALSE,5,0,0,FALSE
BARU89301,BARU,1989,3,Switzerland,Jacques Grandjean,Alpirama Baruntse Expedition,TRUE,9,1,0,FALSE
JANU89301,JANU,1989,3,USA,Hooman Aprin,Him-Kooh American Jannu Expedition 1989,FALSE,3,0,0,FALSE
KANG89301,KANG,1989,3,France,Eric Monier,Kangchenjunga 1989,FALSE,4,0,0,FALSE
MAKA89306,MAKA,1989,3,USA,Joe Frank,1989 American Makalu Expedition,FALSE,6,0,0,FALSE
MAKA89303,MAKA,1989,3,Spain,Ana Sese Lanau,Aragon Expedition to Makalu,FALSE,7,0,0,FALSE
MAKA89301,MAKA,1989,3,Spain,Pere Giro Beltran,Makalu Penedes,FALSE,7,0,0,FALSE
MAKA89304,MAKA,1989,3,France,Pierre Beghin,Federal French Expedition 1989 to Makalu,TRUE,5,1,0,FALSE
MAKA89305,MAKA,1989,3,Austria,Bruno Roth Zaugg,Makalu Expedition,FALSE,5,0,0,FALSE
MAKA89302,MAKA,1989,3,UK,"Michael Woolridge, Andy Fanshawe",Blackspur Makalu Expedition 1989,FALSE,13,0,0,FALSE
MAK289301,MAK2,1989,3,UK,"Michael Woolridge, Andy Fanshawe",Blackspur Makalu Expedition 1989,FALSE,4,0,0,FALSE
YALU89301,YALU,1989,3,S Korea,Park Soon-Jo,1989 Yalungkang Expedition of Won Ju Chiak Alpine Club,TRUE,8,1,0,TRUE
EVER89306,EVER,1989,3,USA,Keith Brown,US Chomolungma Expedition,FALSE,2,0,0,TRUE
EVER89310,EVER,1989,3,Italy,Lorenzo Mazzoleni,Italian Everest Expedition,FALSE,4,0,0,FALSE
EVER89305,EVER,1989,3,Switzerland,Norbert Joos,Everest Team on N Face,FALSE,6,0,0,FALSE
EVER89311,EVER,1989,3,France,Eric Escoffier,Everest Turbo 1989,FALSE,6,0,0,FALSE
EVER89302,EVER,1989,3,USA,Gary Speer,"Everest, The Unclimbed Ridge",FALSE,10,0,0,TRUE
EVER89304,EVER,1989,3,France,Claude Jaccoux,Tibet Everest 1989,FALSE,22,0,0,FALSE
EVER89307,EVER,1989,3,USA,Michael Dunn,American Goodwill Everest Expedition,FALSE,17,0,0,TRUE
EVER89303,EVER,1989,3,Yugoslavia,Darko Berljak,Zagreb Mountaineering Expedition to Mount Everest,FALSE,27,0,0,FALSE
ANN189101,ANN1,1989,1,France,Marc Batard,Marc Batard Autumn 1989 Annapurna I Expedition,FALSE,1,0,0,FALSE
LHOT89101,LHOT,1989,1,Yugoslavia,Jovan Poposki,Jovan Poposki Autumn 1989 Everest Lhotse Expedition,TRUE,15,1,0,FALSE
ANN189401,ANN1,1989,4,Bulgaria,Metodi Stefanov Savov,Bulgarian Annapurna I S Face Winter Expedition 1989,FALSE,7,0,0,FALSE
ANN189402,ANN1,1989,4,S Korea,Jang Bong-Wan,1989-90 Korean Annapurna I Winter Expedition,FALSE,14,0,0,FALSE
DHA189401,DHA1,1989,4,France,Laurent Lukie,Dhaulagiri Winter 1989,FALSE,5,0,0,FALSE
DHA189402,DHA1,1989,4,USA,"Timothy Brill, James Yoder",Americans on Dhaulagiri I,FALSE,7,0,2,FALSE
LSIS89401,LSIS,1989,4,S Korea,Lee Myung-Dong,1989-90 Tearyun High School Alpine Club Winter Langshisa Ri,TRUE,9,1,0,FALSE
LANR89401,LANR,1989,4,S Korea,Park Young-Seok,1989-90 Korean Winter Himalaya Langtang Ri Expedition,TRUE,3,2,0,FALSE
TILI89401,TILI,1989,4,Canada,Stephen Adamson,1989 Winter Canadian Mt. Tilicho Expedition,FALSE,8,0,0,FALSE
CHOY89402,CHOY,1989,4,S Korea,Lee Ho-Sang,Korean Winter Cho Oyu Expedition,FALSE,7,0,0,FALSE
CHOY89401,CHOY,1989,4,Belgium,Alain Hubert,Cho Oyu Nepalese Himalaya Belgium Expedition 1989,FALSE,5,0,0,FALSE
LHOT89401,LHOT,1989,4,France,Marc Batard,Marc Batard Lhotse S Face Expedition,FALSE,2,0,0,FALSE
LHOT89402,LHOT,1989,4,France,Christophe Profit,Lhotse S Face en Duo,FALSE,4,0,0,FALSE
PUMO89402,PUMO,1989,4,Italy,Anton Stocker,S Tirolean Himalayan Expedition to Pumori,FALSE,5,0,0,FALSE
PUMO89401,PUMO,1989,4,USA,Carl Harrison,American Pumori Winter Expedition,FALSE,7,0,1,FALSE
TAWO89401,TAWO,1989,4,UK,David Etherington,British Winter Taboche Expedition,TRUE,4,4,0,FALSE
YALU89401,YALU,1989,4,S Korea,Kim Teuk-Hee,1989-90 Korean Winter Yalung Kang Expedition,TRUE,5,1,1,TRUE
ANNS90101,ANNS,1990,1,France,Philippe Berger,Annapurna S Expedition,FALSE,2,0,0,FALSE
DHA190102,DHA1,1990,1,Poland,Krzysztof Wielicki,Polish International Dhaulagiri E Face Exped. to Dhaulagiri,TRUE,6,2,0,FALSE
DHA190101,DHA1,1990,1,W Germany,Michel Dacher,International Dhaulagiri Expedition 1990,TRUE,11,1,0,FALSE
GANC90101,GANC,1990,1,Nepal,Gupta Bahadur Rana,NPMAF Ganchempo Himal Expedition (Nepal Police),TRUE,19,9,0,FALSE
LANG90101,LANG,1990,1,USA,Richard (Rick) Wilcox,1990 American Langtang Lirung Expedition,FALSE,20,0,0,FALSE
MANA90102,MANA,1990,1,Italy,Fausto De Stefani,Italian Manaslu Expedition,TRUE,6,1,0,FALSE
MANA90103,MANA,1990,1,France,Dominique Neuenschwander,Ski Extreme Expedition to Manaslu,FALSE,6,0,0,FALSE
MANA90101,MANA,1990,1,USA,Donald Goodman,1990 American Manaslu Expedition,FALSE,9,0,2,FALSE
AMAD90101,AMAD,1990,1,UK,Ray Delaney,Perpetual Ama Dablam Expedition,TRUE,7,4,0,FALSE
CHOY90102,CHOY,1990,1,Australia,Rick White,Australian Cho Oyu Expedition,TRUE,6,1,0,FALSE
CHOY90103,CHOY,1990,1,France,Benoit Chamoux,L'Esprit d'Equipe to Cho Oyu and Xixabangma,FALSE,9,0,0,FALSE
CHOY90104,CHOY,1990,1,W Germany,Guenther Haerter,DAV Summit Club Cho Oyu Expedition,TRUE,34,14,0,TRUE
PUMO90102,PUMO,1990,1,Norway,Per (Gunnar) Olsen,Norwegian Pumori Expedition,FALSE,4,0,0,FALSE
PUMO90103,PUMO,1990,1,Japan,Isao Niizuma,TBS Film Team Pumori Expedition 1990,FALSE,6,0,0,TRUE
PUMO90101,PUMO,1990,1,Japan,Yoshikuni Mori,Tokushima University Pumori Expedition 1990,FALSE,4,0,1,FALSE
PUMO90104,PUMO,1990,1,Italy,Stefano Agostoni,Italian Pumori Expedition,FALSE,8,0,0,FALSE
GYAC90101,GYAC,1990,1,UK,Roger Antolik,British Army 1990 Gyachung Kang Expedition,FALSE,11,0,0,FALSE
EVER83402,EVER,1983,4,Japan,Michiko Takahashi,Kamoshika Dojin Everest N Face Winter 1983-84,FALSE,18,0,0,TRUE
EVER85302,EVER,1985,3,Japan,Tsuneo Hasegawa,Japanese Everest N Col Autumn 1985 Expedition,FALSE,10,0,1,TRUE
EVER85301,EVER,1985,3,New Zealand,Austin Brookes,New Zealand-Australian Everest - Autumn 1985,FALSE,14,0,0,TRUE
EVER85403,EVER,1985,4,S Korea,Nam Sang-Tae,1985-86 Korea University Winter Everest Expedition,FALSE,11,0,0,TRUE
EVER85402,EVER,1985,4,S Korea,Kim Ki-Heyg,1985-86 Korean Winter Everest Expedition,FALSE,16,0,0,FALSE
EVER85404,EVER,1985,4,S Korea,Park Young-Bae,1985-86 Korean Winter Everest SW Face Expedition,FALSE,9,0,0,FALSE
EVER85401,EVER,1985,4,Japan,Michiko Takahashi,Japanese Everest N Face Winter 1985,FALSE,9,0,0,TRUE
EVER86101,EVER,1986,1,USA,Joe Murphy,1986 US Everest N Face Expedition,FALSE,11,0,0,FALSE
EVER86102,EVER,1986,1,Canada,Jim Elzinga,Canadian Light Everest Expedition 1986,TRUE,13,2,0,TRUE
EVER86103,EVER,1986,1,Spain,Jeronimo Lopez,Everest/Qomolangma Tibet Himalaya Expedition Madrid 1986,FALSE,9,0,0,FALSE
EVER86104,EVER,1986,1,Japan,Haruyuki Endo,Japan Everest Expedition 1986,FALSE,5,0,0,TRUE
EVER86105,EVER,1986,1,Poland,Tadeusz Karolczak,Polish Everest Expedition 1986 (Spring),FALSE,3,0,0,FALSE
EVER86201,EVER,1986,2,Canada,Roger Marshall,1986 Everest Solo,FALSE,4,0,0,FALSE
EVER86203,EVER,1986,2,Chile,Claudio Lucero,Chilean Everest N Col Expedition 1986,FALSE,9,0,1,TRUE
EVER86202,EVER,1986,2,Switzerland,Erhard Loretan,Everest 1986 The Third Pole and Qomolongma Expedition (combi),TRUE,6,2,0,FALSE
